 REGION , DISTRICT , Somme de POPULATION2 , (F) Nombre Commune exposées , (F)  Nombres Fokontany Exposé , (F)  Population exposée , (F)  Population affectées , (F)  HEA (Group socio Très pauvre - Sinistrées) , (F) Déplacées en site , (F) Déplacées en site préventivement , (M)  Nombre Commune exposées , (M)  Nombres Fokontany Exposé , (M)  Population exposée , (M)  Population affectées , (M)  HEA (Group socio Très pauvre - Sinistrées) , (M) Déplacées en site , (M) Déplacées en site préventivement , (E)  Nombre Commune exposées , (E) Nombres Fokontany Exposé , (E) Population exposée , (E) Population affectées , (E) HEA (Group socio Très pauvre - Sinistrées) , (E) Déplacées en site , (E) Déplacées en site préventivement , FAIBLE ,Système,Nom,Année,Vitesse de vent,Précipitation,Population 5-17 ans scolarisable ,% Hommes,% Femmes,Enfant moins de 5 ans,Prévalence (en %) du handicap,Femmes enceintes et allaitantes (Enfant - 2 ans et TBN),Personnes agées plus de 60 ans,Somme de  Cases d'habitations détruites,Somme de  Cases d'habitations inondées,Somme de  Cases d'habitations endommagées/ Décoiffées ,Elèves privés de cours à cause de l'évènement,Salle de classe totalement détruites,Salle de classe endommagées,Salle de classe décoiffées,CSB1/ CSB2 totalement détruites,CSB1/ CSB2 endommagées ou partiellement détruites,CSB1/ CSB2 décoiffées,Agriculture,Elevage,Pêche,Ménages Agricoles, MODERE ,Système,Nom,Année,Vitesse de vent,Précipitation,Population 5-17 ans scolarisable ,% Hommes,% Femmes,Enfant moins de 5 ans,Prévalence (en %) du handicap,Femmes enceintes et allaitantes (Enfant - 2 ans et TBN),Personnes agées plus de 60 ans,Somme de  Cases d'habitations détruites,Somme de  Cases d'habitations inondées,Somme de  Cases d'habitations endommagées/ Décoiffées ,Elèves privés de cours à cause de l'évènement,Salle de classe totalement détruites,Salle de classe endommagées,Salle de classe décoiffées,CSB1/ CSB2 totalement détruites,CSB1/ CSB2 endommagées ou partiellement détruites,CSB1/ CSB2 décoiffées,Agriculture,Elevage,Pêche,Ménages Agricoles, FORT ,Système,Nom,Année,Vitesse de vent,Précipitation,Population 5-17 ans scolarisable ,% Hommes,% Femmes,Enfant moins de 5 ans,Prévalence (en %) du handicap,Femmes enceintes et allaitantes (Enfant - 2 ans et TBN),Personnes agées plus de 60 ans,Somme de  Cases d'habitations détruites,Somme de  Cases d'habitations inondées,Somme de  Cases d'habitations endommagées/ Décoiffées ,Elèves privés de cours à cause de l'évènement,Salle de classe totalement détruites,Salle de classe endommagées,Salle de classe décoiffées,CSB1/ CSB2 totalement détruites,CSB1/ CSB2 endommagées ou partiellement détruites,CSB1/ CSB2 décoiffées,Agriculture,Elevage,Pêche,Ménages Agricoles
, ANTANANARIVO ATSIMONDRANO ,"738,060",8,18,"62,656","5,177","1,224",716,143,13,34,"182,488","20,746","6,603","3,860",772,15,37,"211,859","37,485","11,246","6,574","1,315", F , FTT , FTT  CHENESO du 17 Janvier 2023 , 2022-2023 ,,,"1,491",601,623,143,61,102,69,57,57,193,"1,491",3,3,4,1,2,2,,,,, M , CT , ENAWO , 2016-2017 ,,,"5,975","3,242","3,361",773,330,550,370,306,306,"1,039","5,975",3,7,10,1,4,5,,,,, F , ZCIT , ZCIT/Forte pluie du 17 Janvier 2022/TTM ANA , 2021-2022 ,,,"10,796","5,522","5,724","1,316",562,936,630,521,521,"1,769","10,796",4,15,19,2,8,10,,,,
, ANTANANARIVO AVARADRANO ,"503,026",1,3,"6,019",602,142,54,11,7,20,"83,214","10,230","3,256","1,246",249,5,15,"68,895","15,898","4,770","1,824",365, F , ZCIT , ZCIT 2 , 2014-2015 ,,,173,70,72,17,7,12,8,7,7,22,173,1,1,2,1,1,2,,,,, M , CT , ENAWO , 2016-2017 ,,,"2,946","1,599","1,657",381,163,271,182,151,151,512,"2,946",1,3,4,1,3,5,,,,, F , ZCIT , ZCIT/Forte pluie du 17 Janvier 2022/TTM ANA , 2021-2022 ,,,"4,579","2,342","2,428",558,238,397,267,221,221,750,"4,579",2,7,8,2,7,9,,,,
, ANTANANARIVO RENIVOHITRA ,"1,449,574",1,120,"1,161,729","125,997","29,786","17,843","3,569",1,128,"1,199,212","178,485","56,812","34,034","6,807", -   ,1,"48,545", -   , -   , -   , -   , F , FTT , CHEDZA , 2014-2015 ,,,"36,287","14,625","15,161","3,485","1,489","2,479","1,668","1,415","1,416","4,806","36,287",8,10,12,1,1,1,,,,, M , ZCIT , ZCIT/Forte pluie du 17 Janvier 2022/TTM ANA , 2021-2022 ,,,"51,404","27,895","28,917","6,647","2,841","4,729","3,181","2,699","2,701","9,167","51,404",9,21,31,1,3,4,,,,, F ,,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,11,48,59,1,6,8,,,,
, MANJAKANDRIANA ,"250,551", -   , -   ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , F ,,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2,3,3,2,3,3,,,,, M ,,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2,6,9,2,6,9,,,,, F ,,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,3,13,16,3,14,17,,,,
 Total ANALAMANGA ,8,"4,113,643",47,246,"1,439,936","154,648","37,228","21,820","4,364",78,373,"1,830,236","280,763","89,367","52,378","10,476",84,431,"948,985","253,278","75,983","44,534","8,907", F , CT , AVA , 2017-2018 ,, -   ,"44,539","18,279","18,949","4,356","1,861","3,099","2,085","1,745","1,746","5,927","44,539",22,26,31,12,15,17,"69,282","72,685","12,681","86,139", M , ZCIT , ZCIT 2 , 2014-2015 ,,,"80,860","43,879","45,488","10,456","4,468","7,438","5,005","4,139","4,141","14,056","80,860",23,57,83,13,32,47,"125,782","131,959","23,023","156,385", F , ZCIT , ZCIT/Forte pluie du 17 Janvier 2022/TTM ANA , 2021-2022 ,,,"72,944","37,308","38,676","8,890","3,799","6,324","4,255","3,342","3,344","11,351","72,944",30,130,158,17,73,89,"113,468","119,041","20,769","141,076"
 ANALANJIROFO , FENERIVE EST ,"328,475",10,26,"78,376","20,155","6,415","2,203",441,11,40,"108,891","40,494","12,889","4,426",885,11,81,"172,145","97,032","29,110","9,995","1,999", F , FTT , FTT  CHENESO du 17 Janvier 2023 , 2022-2023 , 63 à 88 km/h ,,"6,349","3,163","3,253",815,385,560,308,305,394,"1,187","6,349",4,8,6,1,1,1,,,,, M , FTT , ELIAKIM , 2017-2018 , 89 à 117 km/h ,,"12,756","6,354","6,535","1,637",773,"1,126",619,614,792,"2,386","12,756",10,19,15,1,2,2,,,,, F , CT , ENAWO , 2016-2017 , 118 à 165 km/h ,,"30,565","14,351","14,759","3,697","1,747","2,543","1,397","1,386","1,788","5,388","30,565",19,34,45,2,4,6,,,,
, MANANARA-AVARATRA ,"268,707",4,7,"18,453","2,657",846,423,85,6,20,"34,304","10,235","3,258","1,629",326,6,25,"46,323","23,230","6,969","3,485",697, F , CT , AVA , 2017-2018 , 63 à 88 km/h ,,837,417,429,107,51,74,41,38,49,148,837,3,5,4,0,1,1,,,,, M , FTT , FTT ELOISE (17 au 23 Janv 21) , 2020-2021 , 89 à 117 km/h ,,"3,224","1,606","1,652",414,195,285,156,146,189,569,"3,224",6,12,9,1,2,1,,,,, F , CT , ENAWO , 2016-2017 , 118 à 165 km/h ,,"7,318","3,436","3,533",885,418,609,335,313,404,"1,218","7,318",12,20,27,2,3,4,,,,
, SAINTE MARIE ,"30,012",1,4,"11,566","3,405","1,084",795,159,1,13,"22,448","9,165","2,917","2,141",428,1,12,"21,068","15,034","4,510","3,310",662, F , FTT , FTT  CHENESO du 17 Janvier 2023 , 2022-2023 , 63 à 88 km/h ,,"1,073",534,549,138,65,95,52,57,73,220,"1,073",1,2,1,1,1,1,,,,, M , FTT , ELIAKIM , 2017-2018 , 89 à 117 km/h ,,"2,887","1,438","1,479",370,175,255,140,152,197,592,"2,887",2,5,4,1,2,2,,,,, F , CT , ENAWO , 2016-2017 , 118 à 165 km/h ,,"4,736","2,223","2,287",573,271,394,216,235,304,916,"4,736",5,8,11,2,4,6,,,,
, SOANIERANA IVONGO ,"160,774",3,6,"17,954","2,685",855,294,59,8,17,"42,240","10,515","3,347","1,149",230,7,24,"51,964","25,429","7,629","2,620",524, F , CT , AVA , 2017-2018 , 63 à 88 km/h ,,846,421,433,109,51,75,41,37,48,145,846,3,6,4,0,0,0,,,,, M , CT , ENAWO , 2016-2017 , 89 à 117 km/h ,,"3,312","1,650","1,697",425,201,292,161,146,189,569,"3,312",7,14,11,0,1,1,,,,, F , FTT , ELIAKIM , 2017-2018 , 89 à 117 km/h ,,"8,010","3,761","3,868",969,458,666,366,334,431,"1,298","8,010",14,24,31,1,1,2,,,,
, VAVATENINA ,"218,120",5,8,"35,550","5,221","1,662","1,039",208,6,13,"48,105","15,615","4,970","3,109",622,6,21,"65,167","31,873","9,562","5,981","1,196", F , FTT , FTT  CHENESO du 17 Janvier 2023 , 2022-2023 , 63 à 88 km/h ,,"1,645",819,843,211,100,145,80,73,94,283,"1,645",3,6,4,0,1,1,,,,, M , FTT , ELIAKIM , 2017-2018 , 89 à 117 km/h ,,"4,919","2,450","2,520",631,298,434,239,217,281,845,"4,919",7,14,11,1,2,1,,,,, F , CT , ENAWO , 2016-2017 , 89 à 117 km/h ,,"10,040","4,714","4,848","1,214",574,835,459,418,540,"1,626","10,040",14,24,31,2,3,4,,,,
