 REGION , DISTRICT , Somme de POPULATION2 , (F) Nombre Commune exposées , (F)  Nombres Fokontany Exposé , (F)  Population exposée , (F)  Population affectées , (F)  HEA (Group socio Très pauvre - Sinistrées) , (F) Déplacées en site , (F) Déplacées en site préventivement , (M)  Nombre Commune exposées , (M)  Nombres Fokontany Exposé , (M)  Population exposée , (M)  Population affectées , (M)  HEA (Group socio Très pauvre - Sinistrées) , (M) Déplacées en site , (M) Déplacées en site préventivement , (E)  Nombre Commune exposées , (E) Nombres Fokontany Exposé , (E) Population exposée , (E) Population affectées , (E) HEA (Group socio Très pauvre - Sinistrées) , (E) Déplacées en site , (E) Déplacées en site préventivement , FAIBLE ,Système,Nom,Année,Vitesse de vent,Précipitation,Population 5-17 ans scolarisable ,% Hommes,% Femmes,Enfant moins de 5 ans,Prévalence (en %) du handicap,Femmes enceintes et allaitantes (Enfant - 2 ans et TBN),Personnes agées plus de 60 ans,Somme de  Cases d'habitations détruites,Somme de  Cases d'habitations inondées,Somme de  Cases d'habitations endommagées/ Décoiffées ,Elèves privés de cours à cause de l'évènement,Salle de classe totalement détruites,Salle de classe endommagées,Salle de classe décoiffées,CSB1/ CSB2 totalement détruites,CSB1/ CSB2 endommagées ou partiellement détruites,CSB1/ CSB2 décoiffées,Agriculture,Elevage,Pêche,Ménages Agricoles, MODERE ,Système,Nom,Année,Vitesse de vent,Précipitation,Population 5-17 ans scolarisable ,% Hommes,% Femmes,Enfant moins de 5 ans,Prévalence (en %) du handicap,Femmes enceintes et allaitantes (Enfant - 2 ans et TBN),Personnes agées plus de 60 ans,Somme de  Cases d'habitations détruites,Somme de  Cases d'habitations inondées,Somme de  Cases d'habitations endommagées/ Décoiffées ,Elèves privés de cours à cause de l'évènement,Salle de classe totalement détruites,Salle de classe endommagées,Salle de classe décoiffées,CSB1/ CSB2 totalement détruites,CSB1/ CSB2 endommagées ou partiellement détruites,CSB1/ CSB2 décoiffées,Agriculture,Elevage,Pêche,Ménages Agricoles, FORT ,Système,Nom,Année,Vitesse de vent,Précipitation,Population 5-17 ans scolarisable ,% Hommes,% Femmes,Enfant moins de 5 ans,Prévalence (en %) du handicap,Femmes enceintes et allaitantes (Enfant - 2 ans et TBN),Personnes agées plus de 60 ans,Somme de  Cases d'habitations détruites,Somme de  Cases d'habitations inondées,Somme de  Cases d'habitations endommagées/ Décoiffées ,Elèves privés de cours à cause de l'évènement,Salle de classe totalement détruites,Salle de classe endommagées,Salle de classe décoiffées,CSB1/ CSB2 totalement détruites,CSB1/ CSB2 endommagées ou partiellement détruites,CSB1/ CSB2 décoiffées,Agriculture,Elevage,Pêche,Ménages Agricoles
, MAROANTSETRA ,"280,768",10,40,"102,427","17,516","5,575","3,829",766,10,50,"114,971","29,635","9,433","6,478","1,296",11,67,"138,134","59,206","17,762","12,198","2,440", F , FTT , FTT  CHENESO du 17 Janvier 2023 , 2022-2023 , 63 à 88 km/h ,,"5,517","2,749","2,827",708,335,487,268,251,323,975,"5,517",7,13,11,0,1,1,,,,, M , FTT , ELIAKIM , 2017-2018 , 89 à 117 km/h ,,"9,335","4,650","4,782","1,198",566,824,453,424,547,"1,649","9,335",18,33,26,1,2,1,,,,, F , CT , ENAWO , 2016-2017 , 118 à 165 km/h ,,"18,650","8,757","9,005","2,256","1,066","1,552",853,799,"1,030","3,105","18,650",33,58,76,2,3,4,,,,
 Total ANALANJIROFO ,6,"1,286,856",31,90,"264,327","51,639","16,437","11,288","2,258",41,151,"370,958","115,658","36,814","25,281","5,056",41,229,"494,800","251,805","75,541","51,877","10,375", F , FTT , FTT  CHENESO du 17 Janvier 2023 , 2022-2023 , 63 à 88 km/h , -   ,"16,266","8,103","8,333","2,087",986,"1,436",789,761,982,"2,958","16,266",21,39,31,2,4,3,"44,616","37,645","7,178","46,113", M , FTT , ELIAKIM , 2017-2018 , 89 à 117 km/h ,,"36,432","18,149","18,665","4,675","2,209","3,216","1,767","1,700","2,194","6,611","36,432",51,96,76,6,11,8,"99,928","84,315","16,076","103,282", F , CT , ENAWO , 2016-2017 , 166 à 212 km/h ,,"79,318","37,242","38,299","9,594","4,532","6,600","3,626","3,485","4,497","13,550","79,318",96,168,221,11,19,25,"217,559","183,566","35,001","224,861"
 ANTSINANANA , ANTANAMBAO MANAMPONTSY ,"70,198",5,30,"41,792","16,726","5,324","2,555",511,5,45,"58,277","31,773","10,113","4,854",971,5,45,"58,277","44,779","13,434","6,448","1,290", F , FTT , FTT  CHENESO du 17 Janvier 2023 , 2022-2023 , 89 à 117 km/h ,,"5,352","2,609","2,715",761,426,497,224,379,145,609,"5,352", -   , -   , -   ,1,3,3,,,,, M , CT , AVA , 2017-2018 , 118 à 165 km/h ,,"10,167","4,956","5,158","1,446",809,944,425,720,276,"1,156","10,167", -   , -   , -   ,3,4,4,,,,, F , CT , ENAWO , 2016-2017 , 166 à 212 km/h ,,"14,329","6,582","6,851","1,921","1,075","1,254",564,956,367,"1,535","14,329", -   , -   , -   ,7,6,5,,,,
, BRICKAVILLE ,"237,936",15,113,"168,841","52,547","16,726","6,079","1,216",16,140,"196,059","92,261","29,367","10,673","2,135",16,159,"211,490","147,220","44,166","16,052","3,210", F , FTT , ELIAKIM , 2017-2018 , 89 à 117 km/h ,,"16,815","8,196","8,530","2,392","1,338","1,562",702,"1,512",580,"2,428","16,815",6,17,15,2,6,5,,,,, M , CTI , CTI BATSIRAI (27 Janvier - 08 Février 2022) , 2021-2022 , 166 à 212 km/h ,,"29,523","14,390","14,977","4,199","2,349","2,742","1,233","2,654","1,019","4,264","29,523",16,23,20,5,8,7,,,,, F , CT , ENAWO , 2016-2017 , 166 à 212 km/h ,,"47,111","21,641","22,525","6,316","3,533","4,124","1,855","3,992","1,532","6,413","47,111",36,32,28,12,11,10,,,,
, MAHANORO ,"326,126",11,118,"225,528","48,314","15,378","7,002","1,400",12,143,"251,109","89,541","28,501","12,976","2,595",12,174,"298,392","177,878","53,363","24,296","4,859", F , DT , Depression tropicale FRANCISCO , 2019-2020 , 51 à 62 km/h ,,"15,460","7,535","7,843","2,199","1,230","1,436",646,"1,169",449,"1,878","15,460",14,38,34,2,7,6,,,,, M , CT , CT EMNATI (16 au 26 Février 2022) , 2021-2022 , 118 à 165 km/h ,,"28,653","13,966","14,536","4,076","2,280","2,661","1,197","2,166",831,"3,480","28,653",36,51,45,7,9,8,,,,, F , CTI , CTI BATSIRAI (27 Janvier - 08 Février 2022) , 2021-2022 , 166 à 212 km/h ,,"56,921","26,148","27,215","7,631","4,269","4,983","2,241","4,056","1,557","6,515","56,921",81,72,63,15,13,11,,,,
, MAROLAMBO ,"189,960",9,88,"103,147","24,016","7,644","1,223",245,9,96,"110,786","50,476","16,066","2,571",514,9,106,"121,115","93,617","28,085","4,494",899, F , CT , ENAWO , 2016-2017 , 51 à 62 km/h ,,"7,685","3,746","3,899","1,093",612,714,321,544,209,874,"7,685",8,22,20,0,1,1,,,,, M , CT , AVA , 2017-2018 , 118 à 165 km/h ,,"16,152","7,873","8,194","2,298","1,285","1,500",675,"1,143",439,"1,836","16,152",21,30,26,1,2,1,,,,, F , CTI , CTI BATSIRAI (27 Janvier - 08 Février 2022) , 2021-2022 , 166 à 212 km/h ,,"29,957","13,762","14,323","4,016","2,247","2,623","1,180","1,998",767,"3,210","29,957",47,42,37,2,2,2,,,,
, TOAMASINA I ,"372,192",5,61,"179,120","48,844","15,547","4,140",828,5,75,"241,859","115,648","36,811","9,802","1,960",5,93,"274,886","180,617","54,185","14,429","2,886", F , TTM , TTM DUMAKO (14 AU 16 F2vrier 2022) , 2021-2022 , 51 à 62 km/h ,,"15,630","7,618","7,929","2,223","1,244","1,452",653,"1,405",539,"2,257","15,630",3,9,8,3,7,6,,,,, M , ZCIT , ZCIT 1  , 2014-2015 ,,,"37,007","18,037","18,773","5,264","2,945","3,437","1,546","3,327","1,277","5,345","37,007",9,13,11,7,10,8,,,,, F , CT , AVA , 2017-2018 , 118 à 165 km/h ,,"57,797","26,551","27,634","7,748","4,335","5,060","2,276","4,897","1,880","7,867","57,797",20,18,15,15,13,12,,,,
, TOAMASINA II ,"297,491",16,104,"214,209","38,448","12,238",149,30,17,147,"271,672","99,712","31,738",386,77,17,155,"288,592","183,408","55,022",669,134, F , ZCIT , ZCIT/Forte pluie du 17 Janvier 2022/TTM ANA , 2021-2022 , 63 à 88 km/h ,,"12,303","5,997","6,241","1,750",979,"1,143",514,"1,137",436,"1,826","12,303",7,21,18,2,5,4,,,,, M , TTM , TTM DUMAKO (14 AU 16 F2vrier 2022) , 2021-2022 , 63 à 88 km/h ,,"31,908","15,552","16,187","4,539","2,539","2,964","1,333","2,948","1,132","4,736","31,908",19,28,24,4,6,5,,,,, F , CT , AVA , 2017-2018 , 118 à 165 km/h ,,"58,691","26,961","28,061","7,868","4,402","5,138","2,311","5,111","1,962","8,211","58,691",43,39,34,10,9,8,,,,
, VATOMANDRY ,"194,014",18,122,"138,545","32,763","10,429","5,006","1,001",20,146,"164,269","69,804","22,219","10,665","2,133",20,166,"187,155","131,265","39,380","18,902","3,780", F , CT , AVA , 2017-2018 , 118 à 165 km/h ,,"10,484","5,110","5,319","1,491",834,974,438,918,352,"1,474","10,484",3,7,6,2,6,5,,,,, M , CTI , CTI BATSIRAI (27 Janvier - 08 Février 2022) , 2021-2022 , 166 à 212 km/h ,,"22,337","10,887","11,332","3,177","1,777","2,075",933,"1,955",751,"3,141","22,337",7,10,8,6,8,7,,,,, F , CT , ENAWO , 2016-2017 , 166 à 212 km/h ,,"42,005","19,296","20,084","5,631","3,150","3,677","1,654","3,466","1,330","5,567","42,005",15,14,12,13,11,10,,,,
 Total ANTSINANANA ,7,"1,687,916",78,635,"1,071,181","261,659","83,286","26,652","5,330",84,790,"1,294,030","549,215","174,815","55,941","11,188",84,898,"1,439,906","958,785","287,635","92,044","18,409", F , CTI , CTI BATSIRAI (27 Janvier - 08 Février 2022) , 2021-2022 , 118 à 165 km/h , -   ,"83,731","40,810","42,476","11,910","6,663","7,777","3,498","7,063","2,711","11,346","83,731",41,115,101,12,35,31,"189,179","179,498","46,052","205,925", M , CT , ENAWO , 2016-2017 , 118 à 165 km/h ,,"175,749","85,659","89,156","24,999","13,985","16,324","7,342","14,914","5,725","23,958","175,749",108,154,134,33,47,41, -   , -   , -   , -   , F , CT , AVA , 2017-2018 , 118 à 165 km/h ,,"306,811","140,941","146,694","41,132","23,011","26,859","12,081","24,476","9,395","39,319","306,811",242,217,190,73,66,57,"693,201","657,726","168,746","754,563"
 ATSIMO ANDREFANA , AMPANIHY OUEST ,"458,504",1,3,"8,283","2,057",655,50,10,1,3,"8,283","2,057",655,50,10,1,3,"8,283","2,057",617,47,9, F , CT , CT EMNATI (16 au 26 Février 2022) , 2021-2022 , 63 à 88 km/h ,,767,321,334,107,33,58,24,47,55,40,767,8,7,17,3,2,6,,,,, M , ZCIT , Inondation (due aux fortes pluies) , 2018-2019 ,,,767,321,334,107,33,58,24,47,55,40,767,10,11,26,3,4,9,,,,, F , FTT , FTT JASMINE (23 au 27 Avril 2022) , 2021-2022 , 89 à 117 km/h ,,767,302,315,101,31,55,23,44,52,38,767,16,16,36,5,6,12,,,,
, ANKAZOABO ,"83,379", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , F , FTT , EKETSANG , 2018-2019 , 63 à 88 km/h ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2,2,4,,,,, M , FTT , EKETSANG , 2018-2019 , 63 à 88 km/h ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2,3,6,,,,, F , CTI , CTI BATSIRAI (27 Janvier - 08 Février 2022) , 2021-2022 , 89 à 117 km/h ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,4,4,8,,,,
, BENENITRA ,"49,795",1,3,"4,761",112,36,8,2,1,3,"4,761",125,40,9,2,1,3,"4,761",142,43,10,2, F , CTI , CTI BATSIRAI (27 Janvier - 08 Février 2022) , 2021-2022 , 51 à 62 km/h ,,42,17,18,6,2,3,1,3,4,3,42,2,2,5,1,1,3,,,,, M , CT , ENAWO , 2016-2017 , 63 à 88 km/h ,,47,20,20,7,2,4,1,3,4,3,47,3,3,7,2,2,4,,,,, F , FTT , FTT JASMINE (23 au 27 Avril 2022) , 2021-2022 , 89 à 117 km/h ,,53,21,22,7,2,4,2,4,4,3,53,4,5,10,3,3,6,,,,
, BEROROHA ,"78,980",1,1,"2,659",20,6, -   , -   ,1,1,"2,659",506,161, -   , -   ,1,1,"2,659",759,228, -   , -   , F , FTT , CHEDZA , 2014-2015 , 63 à 88 km/h ,,7,3,3,1,0,1,0,0,1,0,7,5,4,10,2,2,4,,,,, M , CTI , CTI BATSIRAI (27 Janvier - 08 Février 2022) , 2021-2022 , 89 à 117 km/h ,,189,79,82,26,8,14,6,12,14,10,189,6,6,15,3,3,7,,,,, F , CT , FUNDI , 2014-2015 , 118 à 165 km/h ,,283,112,116,37,11,20,8,17,20,15,283,9,9,21,4,4,9,,,,
, BETIOKY ATSIMO ,"352,626",1,2,"12,176",55,18,4,1,2,3,"13,693",136,43,10,2,1,2,"12,176",55,17,4,1, F , ZCIT , Inondation (due aux fortes pluies) , 2018-2019 ,,,21,9,9,3,1,2,1,1,2,1,21,3,2,6,4,3,7,,,,, M , FTT , FTT JASMINE (23 au 27 Avril 2022) , 2021-2022 , 89 à 117 km/h ,,51,21,22,7,2,4,2,3,4,3,51,3,4,9,4,5,12,,,,, F , CT , FUNDI , 2014-2015 , 118 à 165 km/h ,,21,8,8,3,1,1,1,1,1,1,21,5,5,12,7,7,16,,,,
, MOROMBE ,"249,531",5,26,"122,266","12,164","3,872",860,172,5,26,"122,266","23,392","7,446","1,654",331,6,34,"161,799","51,411","15,423","3,427",685, F , FTT , EKETSANG , 2018-2019 , 63 à 88 km/h ,,"4,537","1,897","1,975",631,194,342,143,292,339,249,"4,537",8,7,17,3,2,5,,,,, M , CT , FUNDI , 2014-2015 , 118 à 165 km/h ,,"8,725","3,648","3,797","1,214",372,658,275,561,652,480,"8,725",10,11,26,3,3,8,,,,, F , ZCIT , Inondation (due aux fortes pluies) , 2018-2019 ,,,"19,176","7,557","7,866","2,514",771,"1,362",571,"1,162","1,350",994,"19,176",16,16,36,5,5,11,,,,
, SAKARAHA ,"172,793",3,9,"13,397","1,134",397,30,6,3,9,"13,397","2,269",722,55,11,3,17,"18,749","5,540","1,662",127,25, F , CTI , CTI BATSIRAI (27 Janvier - 08 Février 2022) , 2021-2022 , 51 à 62 km/h ,,423,195,202,65,20,35,15,34,39,29,423,1,1,3,2,1,3,,,,, M , CTI , CTI BATSIRAI (27 Janvier - 08 Février 2022) , 2021-2022 , 89 à 117 km/h ,,846,354,368,118,36,64,27,61,71,52,846,2,2,4,2,2,5,,,,, F , CTI , CTI BATSIRAI (27 Janvier - 08 Février 2022) , 2021-2022 , 89 à 117 km/h ,,"2,066",814,848,271,83,147,61,141,164,121,"2,066",2,3,6,3,3,7,,,,
, TOLIARA-I ,"193,926",6,30,"181,964","12,446","4,356",623,125,7,31,"181,964","23,110","7,356","1,052",210,6,40,"191,911","52,462","15,739","2,250",450, F , FTT , FTT JASMINE (23 au 27 Avril 2022) , 2021-2022 , 89 à 117 km/h ,,"4,642","2,134","2,222",710,218,385,161,344,399,294,"4,642",3,2,5,1,1,2,,,,, M , CT , FUNDI , 2014-2015 , 118 à 165 km/h ,,"8,620","3,604","3,752","1,199",368,650,272,581,674,496,"8,620",3,3,8,1,1,3,,,,, F , ZCIT , Inondation (due aux fortes pluies) , 2018-2019 ,,,"19,568","7,712","8,027","2,565",787,"1,390",582,"1,242","1,443","1,062","19,568",5,5,11,2,2,4,,,,
, TOLIARA-II ,"426,513",17,96,"161,076","25,778","9,022",913,183,17,100,"166,231","45,384","14,446","1,462",292,18,174,"277,415","104,864","31,459","3,184",637, F , CTI , CTI BATSIRAI (27 Janvier - 08 Février 2022) , 2021-2022 , 51 à 62 km/h ,,"9,615","4,421","4,601","1,471",451,797,334,680,790,581,"9,615",14,11,28,5,4,10,,,,, M , FTT , FTT JASMINE (23 au 27 Avril 2022) , 2021-2022 , 89 à 117 km/h ,,"16,928","7,078","7,367","2,355",722,"1,276",534,"1,088","1,264",931,"16,928",17,19,43,6,6,15,,,,, F , CT , FUNDI , 2014-2015 , 118 à 165 km/h ,,"39,114","15,415","16,044","5,128","1,573","2,778","1,164","2,370","2,753","2,027","39,114",26,27,60,9,10,21,,,,
 Total ATSIMO ANDREFANA ,9,"2,066,046",34,168,"506,582","53,766","18,361","2,807",561,36,174,"513,254","96,980","30,869","4,718",944,36,273,"677,754","217,290","65,187","9,964","1,993", F , FTT , FTT JASMINE (23 au 27 Avril 2022) , 2021-2022 , 89 à 117 km/h , -   ,"20,055","8,997","9,364","2,993",918,"1,622",679,"1,401","1,628","1,198","20,055",44,35,89,22,17,44, -   , -   , -   , -   , M , ZCIT , Inondation (due aux fortes pluies) , 2018-2019 ,,,"36,173","15,126","15,743","5,032","1,543","2,726","1,142","2,357","2,738","2,015","36,173",54,59,139,27,29,69,"73,607","67,886","10,280","82,821", F , CT , FUNDI , 2014-2015 , 89 à 117 km/h ,,"81,049","31,942","33,245","10,625","3,259","5,757","2,412","4,982","5,788","4,260","81,049",84,87,191,42,43,95,"164,923","152,103","23,033","185,566"
 ATSIMO ANTSINANANA , BEFOTAKA ,"61,096",4,11,"19,876","5,260","1,674",781,156,4,14,"23,527","7,568","2,409","1,124",225,4,19,"30,172","11,560","3,468","1,617",323, F , CT , ENAWO , 2016-2017 , 51 à 62 km/h ,,"1,988",817,857,288,84,172,55,105,90,121,"1,988",6,7,26,1,1,3,,,,, M , CTI , CTI BATSIRAI (27 Janvier - 08 Février 2022) , 2021-2022 , 89 à 117 km/h ,,"2,861","1,176","1,233",414,120,248,79,151,130,174,"2,861",16,10,33,2,1,4,,,,, F , CT , CT EMNATI (16 au 26 Février 2022) , 2021-2022 , 118 à 165 km/h ,,"4,370","1,692","1,776",596,173,356,114,218,187,250,"4,370",32,19,46,3,2,5,,,,
, FARAFANGANA ,"466,388",10,56,"149,900","36,187","13,027","8,257","1,651",11,59,"153,978","44,326","14,109","8,942","1,788",11,61,"154,203","48,619","14,586","9,244","1,849", F , CTI , CTI BATSIRAI (27 Janvier - 08 Février 2022) , 2021-2022 , 63 à 88 km/h ,,"13,679","6,357","6,670","2,241",651,"1,338",430,803,688,922,"13,679",37,41,159,3,3,12,,,,, M , FTT , CHEDZA , 2014-2015 , 63 à 88 km/h ,,"16,755","6,885","7,224","2,427",705,"1,450",466,869,746,998,"16,755",99,60,203,7,5,15,,,,, F , CT , CT EMNATI (16 au 26 Février 2022) , 2021-2022 , 118 à 165 km/h ,,"18,378","7,118","7,468","2,509",729,"1,499",481,899,771,"1,032","18,378",192,116,279,15,9,21,,,,
, MIDONGY-ATSIMO ,"54,624",5,20,"27,211","8,725","2,777",684,137,5,27,"34,920","13,479","4,290","1,057",211,5,32,"40,511","19,049","5,715","1,409",282, F , CTI , CTI BATSIRAI (27 Janvier - 08 Février 2022) , 2021-2022 , 63 à 88 km/h ,,"3,298","1,355","1,422",478,139,285,92,165,142,189,"3,298",7,8,29,1,1,3,,,,, M , CT , ENAWO , 2016-2017 , 63 à 88 km/h ,,"5,095","2,094","2,197",738,215,441,142,255,219,293,"5,095",18,11,37,2,1,4,,,,, F , CT , CT EMNATI (16 au 26 Février 2022) , 2021-2022 , 118 à 165 km/h ,,"7,201","2,789","2,926",983,286,587,189,339,291,390,"7,201",35,21,51,4,3,6,,,,
, VANGAINDRANO ,"405,899",19,57,"141,730","20,106","7,238","1,960",392,19,70,"157,444","31,930","10,163","2,752",550,19,80,"174,304","49,543","14,863","4,024",805, F , CTI , CTI BATSIRAI (27 Janvier - 08 Février 2022) , 2021-2022 , 63 à 88 km/h ,,"7,600","3,532","3,706","1,245",362,744,239,463,397,532,"7,600",20,22,85,4,4,16,,,,, M , FTT , FTT  CHENESO du 17 Janvier 2023 , 2022-2023 , 89 à 117 km/h ,,"12,069","4,960","5,204","1,748",508,"1,044",335,650,558,747,"12,069",53,32,109,10,6,20,,,,, F , CT , CT EMNATI (16 au 26 Février 2022) , 2021-2022 , 118 à 165 km/h ,,"18,727","7,253","7,610","2,556",743,"1,527",490,951,816,"1,092","18,727",103,62,150,19,12,28,,,,
, VONDROZO ,"188,606",7,32,"73,840","12,326","3,923",881,176,7,36,"77,668","17,473","5,562","1,248",250,7,38,"79,349","24,463","7,339","1,647",329, F , CTI , CTI BATSIRAI (27 Janvier - 08 Février 2022) , 2021-2022 , 63 à 88 km/h ,,"4,659","1,915","2,009",675,196,403,129,272,233,312,"4,659",16,17,68,1,2,6,,,,, M , FTT , CHEDZA , 2014-2015 , 63 à 88 km/h ,,"6,605","2,714","2,847",957,278,571,184,385,331,443,"6,605",42,26,87,4,2,8,,,,, F , CT , CT EMNATI (16 au 26 Février 2022) , 2021-2022 , 118 à 165 km/h ,,"9,247","3,581","3,758","1,262",367,754,242,509,436,584,"9,247",82,50,119,8,5,11,,,,
 Total ATSIMO ANTSINANANA ,5,"1,176,614",44,175,"412,556","82,604","28,640","12,858","2,572",45,205,"447,537","114,775","36,533","16,402","3,280",45,229,"478,538","153,234","45,970","20,639","4,128", F , CT , ENAWO , 2016-2017 , 51 à 62 km/h , -   ,"31,224","13,976","14,664","4,926","1,432","2,943",945,"1,808","1,550","2,076","31,224",85,94,367,9,10,41,"76,492","66,331","14,621","77,978", M , CTI , CTI BATSIRAI (27 Janvier - 08 Février 2022) , 2021-2022 , 89 à 117 km/h ,,"43,385","17,828","18,705","6,284","1,827","3,753","1,206","2,311","1,982","2,653","43,385",228,139,469,25,15,52,"106,282","92,164","20,315","108,348", F , CT , CT EMNATI (16 au 26 Février 2022) , 2021-2022 , 118 à 165 km/h ,,"57,923","22,433","23,537","7,907","2,299","4,723","1,517","2,915","2,500","3,347","57,923",443,269,645,49,30,71,"141,895","123,047","27,122","144,653"
 BETSIBOKA , KANDREHO ,"29,305",1,1,841,28,9,1,0,1,1,841,28,9,1,0,1,1,841,28,8,1,0, F , FTT , CHEDZA , 2014-2015 , 89 à 117 km/h ,,10,4,4,1,0,1,0,1,0,1,10,3,3,5,0,1,1,,,,, M , FTT , FTT  CHENESO du 17 Janvier 2023 , 2022-2023 , 89 à 117 km/h ,,10,4,4,1,0,1,0,1,0,1,10,5,5,7,1,1,1,,,,, F , ZCIT , Forte pluie de 19 au 24 Janvier 2020 , 2019-2020 ,,,10,4,4,1,0,1,0,1,0,1,10,8,9,8,1,2,1,,,,
, MAEVATANANA ,"249,179",7,25,"61,653","9,512","3,028","1,011",202,7,30,"67,056","12,692","4,040","1,349",270,14,62,"109,606","20,923","6,277","2,096",419, F , FTT , CHEDZA , 2014-2015 , 89 à 117 km/h ,,"3,272","1,508","1,520",469,151,299,103,327,145,201,"3,272",2,2,4,2,2,4,,,,, M , ZCIT , Forte pluie de 19 au 24 Janvier 2020 , 2019-2020 ,,,"4,366","2,012","2,028",626,202,399,137,436,193,268,"4,366",3,4,5,3,4,5,,,,, F , FTT , FTT  CHENESO du 17 Janvier 2023 , 2022-2023 , 89 à 117 km/h ,,"7,197","3,126","3,151",973,314,620,213,677,301,417,"7,197",6,6,6,6,6,6,,,,
, TSARATANANA ,"165,404",4,13,"28,612",884,281,35,7,4,15,"30,374","1,060",337,42,8,6,19,"36,723","1,347",404,51,10, F , CT , AVA , 2017-2018 , 63 à 88 km/h ,,304,140,141,44,14,28,10,32,14,20,304,2,3,5,2,3,5,,,,, M , FTT , FTT  CHENESO du 17 Janvier 2023 , 2022-2023 , 89 à 117 km/h ,,365,168,169,52,17,33,11,38,17,23,365,4,5,6,4,4,6,,,,, F , ZCIT , Forte pluie de 19 au 24 Janvier 2020 , 2019-2020 ,,,463,201,203,63,20,40,14,46,20,28,463,8,8,8,7,8,7,,,,
 Total BETSIBOKA ,3,"443,888",11,38,"91,107","10,424","3,318",834,167,11,45,"98,271","13,780","4,386","1,103",221,20,81,"147,170","22,298","6,689","1,682",336, F , FTT , CHEDZA , 2014-2015 , 89 à 117 km/h , -   ,"3,586","1,652","1,666",514,166,328,113,359,160,221,"3,586",7,8,14,5,5,9,"9,007","8,214","1,856","9,497", M , FTT , FTT  CHENESO du 17 Janvier 2023 , 2022-2023 , 89 à 117 km/h ,,"4,740","2,184","2,202",680,219,433,149,475,211,292,"4,740",12,14,17,8,9,12,"11,906","10,859","2,453","12,554", F , ZCIT , Forte pluie de 19 au 24 Janvier 2020 , 2019-2020 ,,,"7,670","3,331","3,358","1,037",334,660,227,724,321,445,"7,670",22,23,22,15,15,15,"19,265","17,571","3,969","20,313"
 BOENY , AMBATO BOENI ,"300,403",8,26,"135,590","16,978","4,244",379,76,8,34,"150,364","28,797","9,166",818,164,11,61,"195,430","71,276","21,383","1,909",382, F , FTT , CHEDZA , 2014-2015 , 63 à 88 km/h ,,"5,552","2,084","2,160",594,212,370,187,396,187,405,"5,552",2,3,2,1,1,1,,,,, M , ZCIT , Forte pluie de 19 au 24 Janvier 2020 , 2019-2020 ,,,"9,417","4,500","4,665","1,283",458,799,403,855,403,874,"9,417",5,6,4,2,2,1,,,,, F , FTT , FTT  CHENESO du 17 Janvier 2023 , 2022-2023 , 89 à 117 km/h ,,"23,307","10,499","10,884","2,994","1,069","1,865",941,"1,994",940,"2,039","23,307",11,11,6,3,4,2,,,,
, MAHAJANGA I ,"279,766",1,2,"42,272","6,581","1,645",376,75,2,8,"94,534","25,757","8,198","1,875",375,2,10,"116,620","53,651","16,095","3,681",736, F , ZCIT , Forte pluie de 19 au 24 Janvier 2020 , 2019-2020 ,,,"2,152",808,837,230,82,143,72,183,86,187,"2,152",0,1,0,0,0,0,,,,, M , FTT , FTT  CHENESO du 17 Janvier 2023 , 2022-2023 , 63 à 88 km/h ,,"8,423","4,025","4,173","1,148",410,715,361,913,431,934,"8,423",1,1,1,1,1,0,,,,, F , CT , AVA , 2017-2018 , 89 à 117 km/h ,,"17,544","7,903","8,192","2,253",805,"1,404",708,"1,792",845,"1,833","17,544",2,2,1,1,1,1,,,,
, MAHAJANGA II ,"108,625",4,20,"42,419","8,826","2,206",750,150,5,26,"46,353","14,464","4,604","1,566",313,6,30,"58,855","18,735","5,621","1,911",382, F , FTT , FTT  CHENESO du 17 Janvier 2023 , 2022-2023 , 63 à 88 km/h ,,"2,886","1,083","1,123",309,110,192,97,216,102,221,"2,886",3,4,3,1,1,1,,,,, M , CT , AVA , 2017-2018 , 89 à 117 km/h ,,"4,730","2,260","2,343",645,230,402,203,450,212,460,"4,730",7,8,5,2,2,1,,,,, F , ZCIT , Forte pluie de 19 au 24 Janvier 2020 , 2019-2020 ,,,"6,126","2,760","2,861",787,281,490,247,550,259,562,"6,126",15,16,9,3,4,2,,,,
, MAROVOAY ,"224,880",7,12,"39,006","4,987","1,247",266,53,10,41,"97,125","21,964","6,991","1,491",298,11,56,"109,703","45,738","13,722","2,926",585, F , FTT , CHEDZA , 2014-2015 , 63 à 88 km/h ,,"1,631",612,635,175,62,109,55,122,57,125,"1,631",2,3,3,1,1,1,,,,, M , ZCIT , Forte pluie de 19 au 24 Janvier 2020 , 2019-2020 ,,,"7,182","3,433","3,559",979,350,610,308,684,322,699,"7,182",6,7,4,2,2,1,,,,, F , FTT , FTT  CHENESO du 17 Janvier 2023 , 2022-2023 , 89 à 117 km/h ,,"14,956","6,737","6,984","1,921",686,"1,197",604,"1,342",633,"1,372","14,956",12,13,8,3,4,2,,,,
